证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
110029.SH,浙能电力,浙能转债(退市),600023.SH,30,15,130,8.27,2015/4/13,2020/10/12,2020/10/12,"（1）到期赎回条款,本次可转债期满后五个交易日内，发行人将以本次发行的可转债的票面面值的107%（含最后一期利息）的价格向可转债持有人赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①如果公司股票在任何连续三十个交易日中有至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。赎回期与转股期相同，即发行结束之日起六个月届满之日至可转债到期日。②当本次发行的可转债未转股余额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
110030.SH,格力地产,格力转债(退市),600185.SH,30,15,130,32.25,2015/6/30,2019/12/24,2019/12/24,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，本公司将以本次发行的可转债的票面面值的106%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A.在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
110031.SH,航天信息,航信转债(退市),600271.SH,30,20,130,55.91,2015/12/14,2021/6/12,2021/6/12,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次发行的可转债的票面面值的107%（含最后一期利息）向投资者赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续30个交易日中至少20个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
110035.SH,白云机场,白云转债(退市),600004.SH,30,15,130,14.07,2016/9/5,2021/2/25,2021/2/25,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的A股可转债：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整日及之后的交易日按调整后的转股价格和收盘价计算。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
110036.SH,招商银行,招行转债(退市),600036.SH,20,20,125,9.24,2005/5/10,2009/11/10,2009/11/10,"自本次可转换公司债券发行之日起6个月后至债券存续期满,如果本行A股股票连续20个交易日的收盘价高于当期转股价格的125%,本行有权赎回未转股的可转债。若在该20个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,在调整后的交易日按调整后的转股价格和收盘价计算。当赎回条件首次满足时,本行有权按面值103%(含当年利息)的价格赎回全部或部分在“赎回日”(在赎回公告中通知)之前未转股的可转换公司债券。若首次不实施赎回,当年将不再行使赎回权。"
110037.SH,歌华有线,歌华转债(退市),600037.SH,20,20,130,19.85,2004/11/12,2009/5/11,2009/5/11,"在本可转债转股期内,如果公司A股股票在任何连续20个交易日中的收盘价不低于当期转股价格的130%(若在该20个交易日内发生过转股价格调整,或因除权、除息引起股价调整的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整当日及调整后的交易日,按调整后的转股价格和收盘价计算),公司有权决定按照债券面值的105%(含当前计息年度利息)的赎回价格赎回全部或部分未转股的本可转债。"
110078.SH,*ST澄星,澄星转债(退市),600078.SH,20,20,130,8.46,2007/11/10,2012/5/10,2012/5/10,(1)到期赎回：公司于本可转换债券期满后5个工作日按本可转换债券的票面面值的105％加当期利息，赎回未转股的全部可转换债券。(2)提前赎回：在公司可转债转股期内，若公司A股股票在连续20个交易日的收盘价高于当期转股价格的130%，公司有权以105元(含当期利息)的价格赎回全部或部分未转股的公司可转债。
110219.SH,南山铝业,南山转债(退市),600219.SH,30,30,130,5.77,2005/4/19,2009/10/19,2009/10/19,"(1)赎回期可转债发行之日起6个月后至可转债到期日止,为可转债的赎回期(2005年4月19日至2009年10月19日)。赎回期内,公司每年可按约定条件行使一次赎回权,每年首次满足赎回条件时,公司可赎回部分或全部未转股的可转债,但若首次不实施赎回的,当年不再行使赎回权。(2)赎回条件与赎回价格在本次可转债的赎回期间,如果公司A股股票收盘价任意连续30个交易日高于当期转股价格的130%,公司有权按面值105%(含当期利息)的价格赎回全部或部分在“赎回日”(在赎回公告中通知)之前未转股的公司可转债。若在该30个交易日内发生过转股价格调整的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整后的交易日按调整后的转股价格和收盘价计算。"
110227.SH,圣济堂,赤化转债(退市),600227.SH,30,20,130,26.09,2008/4/10,2012/10/10,2012/10/10,(1)到期赎回公司于本次可转债期满后5个工作日内按本可转债票面金额的105%加当期利息，赎回尚未转股的全部本可转债。(2)提前赎回在转股期内，若公司股票收盘价连续30个交易日至少有20个交易日不低于当期转股价格的130％时，则公司有权以103元(含当期利息)的价格赎回全部或部分未转股的可转债，若在该30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，在调整后的交易日按调整后的转股价格和收盘价计算.公司每年(付息年)可按上述条件行使一次赎回权，但若在首次满足条件时不实施赎回，公司当年(付息年)不得再行使赎回权。
110232.SH,金鹰股份,金鹰转债(退市),600232.SH,30,20,130,12.3,2007/5/20,2010/11/20,2010/11/20,(1)赎回条件与赎回价格在公司可转债转股期内，如公司股票连续30个交易日内至少20个交易日的收盘价不低于当期转股价格的130%(含130%)，公司有权赎回未转股的公司可转债。当赎回条件首次满足时，公司有权按面值105%(含当期利息)的价格赎回全部或部分在“赎回日”(在赎回公告中通知)之前未转股的公司可转债。本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，当年不再行使赎回权。若在该30个交易日内发生过转股价格调整的情形，则落在调整前的交易日按调整前的转股价格和收盘价计算，落在调整后的交易日按调整后的转股价格和收盘价计算。
110325.SH,华发股份,华发转债(退市),600325.SH,20,20,130,13.4,2007/1/27,2011/7/27,2011/7/27,"(1)可转债发行后6个月内,公司不可赎回可转债；(2)在本次发行的可转换公司债券的转股期间,如果公司股票连续20个交易日的收盘价格高于当期转股价的130%,则公司有权以103元(含当期利息)的价格赎回全部或部分未转股的可转换公司债券。若在该20个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,在调整后的交易日按调整后的转股价格和收盘价计算。(3)公司每年(付息年)可按上述条件行使一次赎回权,但若首次满足赎回条件时不实施赎回,公司当年(付息年)将不得再行使赎回权。"
